path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
src/babappa/empirical/__pycache__/family_prefilter.cpython-311.pyc	file	49531	48.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/empirical/__pycache__/input_staging.cpython-311.pyc	file	58764	57.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/empirical/__pycache__/pilot_panel.cpython-311.pyc	file	73836	72.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/empirical/__pycache__/reference_eval.cpython-311.pyc	file	131209	128.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/maintenance/__pycache__/__init__.cpython-311.pyc	file	392	392B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/maintenance/__pycache__/storage_audit.cpython-311.pyc	file	30316	29.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/models/__pycache__/__init__.cpython-311.pyc	file	768	768B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/models/__pycache__/audit.cpython-311.pyc	file	7298	7.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/models/__pycache__/baseline.cpython-311.pyc	file	23356	22.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/__init__.cpython-311.pyc	file	2977	2.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/ablation_compare.cpython-311.pyc	file	22521	22.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/ablation_compare_audit.cpython-311.pyc	file	4741	4.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/audit.cpython-311.pyc	file	3750	3.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/compare.cpython-311.pyc	file	16295	15.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/compare_audit.cpython-311.pyc	file	5141	5.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/external_tier_summary.cpython-311.pyc	file	47776	46.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/label_signal_audit.cpython-311.pyc	file	21680	21.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/label_signal_audit_audit.cpython-311.pyc	file	3728	3.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/leakage_audit.cpython-311.pyc	file	17391	17.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/leakage_audit_audit.cpython-311.pyc	file	3829	3.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/neural_diagnostics.cpython-311.pyc	file	20832	20.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/neural_diagnostics_audit.cpython-311.pyc	file	4773	4.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/prediction_diagnostics.cpython-311.pyc	file	24804	24.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/prediction_diagnostics_audit.cpython-311.pyc	file	5061	4.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/run_summary.cpython-311.pyc	file	54878	53.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/run_summary_audit.cpython-311.pyc	file	3800	3.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/stratified_eval.cpython-311.pyc	file	30023	29.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/stratified_eval_audit.cpython-311.pyc	file	5049	4.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/reports/__pycache__/summary.cpython-311.pyc	file	86363	84.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/simulate/__pycache__/__init__.cpython-311.pyc	file	535	535B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/simulate/__pycache__/audit.cpython-311.pyc	file	34558	33.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/simulate/__pycache__/simulator.cpython-311.pyc	file	33598	32.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/__init__.cpython-311.pyc	file	4207	4.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/aggregate.cpython-311.pyc	file	13259	12.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/aggregate_audit.cpython-311.pyc	file	4371	4.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/aggregation_controls.cpython-311.pyc	file	19597	19.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/aggregation_controls_audit.cpython-311.pyc	file	3424	3.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/aggregation_threshold_policy.cpython-311.pyc	file	6207	6.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/aggregation_threshold_policy_audit.cpython-311.pyc	file	3818	3.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/baseline.cpython-311.pyc	file	25396	24.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/baseline_audit.cpython-311.pyc	file	5986	5.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/calibration.cpython-311.pyc	file	18195	17.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/calibration_audit.cpython-311.pyc	file	4905	4.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/calibration_compare.cpython-311.pyc	file	9204	9.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/calibration_compare_audit.cpython-311.pyc	file	3445	3.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/compare.cpython-311.pyc	file	10805	10.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/compare_audit.cpython-311.pyc	file	3337	3.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/dataset.cpython-311.pyc	file	27060	26.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/dataset_audit.cpython-311.pyc	file	10387	10.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/leakage.cpython-311.pyc	file	13555	13.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/neural_audit.cpython-311.pyc	file	6918	6.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/neural_data.cpython-311.pyc	file	10326	10.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/neural_model.cpython-311.pyc	file	3364	3.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/neural_train.cpython-311.pyc	file	25946	25.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/oracle_labels.cpython-311.pyc	file	33620	32.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/oracle_labels_audit.cpython-311.pyc	file	5143	5.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/stability.cpython-311.pyc	file	17931	17.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/stability_audit.cpython-311.pyc	file	3369	3.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/stratified_eval.cpython-311.pyc	file	10292	10.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/stratified_eval_audit.cpython-311.pyc	file	3434	3.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/site/__pycache__/threshold_policy.cpython-311.pyc	file	5040	4.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
